TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
e_e000004,2304300002,3,0,,화성 어차 탑승,Y,5,1
e_e000004,2304300003,4,0,,,,,
e_e000004,2304300004,4,0,,,,,
e_e000006,2304300005,1,0,,소금빵,N,1,
e_e000006,2304300007,1,0,,쭈꾸미,N,1,
e_e000006,2304300006,1,3,,감식초,N,1,
e_e000006,2304300006,2,2,,입장권구매,N,1,
e_e000006,2304300004,4,0,,,,,
e_e000006,2304300005,5,1,,,,,
e_e000006,2304300006,5,1,,,,,
e_e000006,2304300002,7,0,,,,,
e_e000006,2304300003,7,0,,,,,
e_e000006,2305010001,7,0,,,,,
e_e000006,2305010002,99,0,,,,,
e_e000009,2304290004,1,0,,고추고갈비;멸치국수;남부시장돈삼겹김치찜,N,1,
e_e000009,2304290005,1,0,,나가사끼짬뽕탕;야끼우동,N,1,
e_e000009,2304300002,1,0,,우육면;우육면(맑은탕);꿔바로우;샤오바오,N,1,
e_e000009,2304300005,1,0,,바닐라라떼;오로라곤약청포도,N,1,
e_e000009,2304300005,1,1,,찰보리빵,N,1,
e_e000009,2304290002,1,4,,토스트 및 음료(카페그리닝),N,2,
e_e000009,2304290003,2,0,,악세사리 및 가방,N,1,
e_e000009,2304300004,2,0,,땅두릅,N,1,
e_e000009,2304300003,4,0,,,,,
e_e000009,2304300001,4,1,,,,,
e_e000009,2304290002,4,3,,,,,
e_e000009,2304290007,5,0,,,,,
e_e000009,2304300001,5,0,,,,,
e_e000009,2304300003,5,2,,,,,
e_e000009,2304290007,6,1,,,Y,1,
e_e000010,2304290004,1,0,,데리버거세트,N,4,
e_e000010,2304290007,1,0,,아이스바닐라라떼,N,1,
e_e000010,2304290008,1,0,,순두부칼국수;감자전,N,1,
e_e000010,2304300002,1,0,,초계국수;만두,N,1,
e_e000010,2304290008,1,1,,찐 옥수수,Y,2,
e_e000010,2304300003,1,1,,커피,N,1,
e_e000010,2304290009,1,2,,커피,Y,2,
e_e000010,2304300001,1,4,,커피,Y,2,
e_e000010,2304290005,2,0,,안경닦이;렌즈크리너 등,Y,5,
e_e000010,2304290006,2,1,,호올스;젤리 등,N,5,
e_e000010,2304300003,3,0,,뮤지컬 데스노트,Y,1,2
e_e000010,2304290006,3,2,,뮤지컬 맘마미아,Y,5,2
e_e000010,2304300001,3,2,,뮤지컬 데스노트 관람,Y,1,2
e_e000010,2304290009,4,1,,,,,
e_e000010,2304300001,4,3,,,,,
e_e000010,2304300004,7,0,,,,,
e_e000010,2304290002,7,1,,,,,
e_e000010,2304290003,7,1,,,,,
e_e000011,2304290005,1,0,,삼겹살;항정살;냉면;볶음밥;술,Y,2,
e_e000011,2304300002,1,0,,스프;파스타;샐러드;리조또;피자;커피;티,N,1,
