TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e000013,해브펀캠핑어라운드,0,5,Y,,,4,,,경기 파주시 월롱면 도감로 130,경기 파주시 월롱면 위전리 89-1,,,,1,240000,
e_e000020,파로티아워터하우스,1,1,Y,,,1,,아고다,서울 중구 을지로 100,서울 중구 을지로2가 203,3101006,1114010500,2023-04-29 00:00,1,84375,파로티아 워터하우스 호텔
e_e000021,호텔헤르메스,1,1,N,,,2,,화성 헤르메스 호텔,경기 화성시 남양읍 역골로 9-28,경기 화성시 남양읍 남양리 2076-17,3210080,4159026221,2023-04-29 15:00,1,70000,숙박비
e_e000038,호텔 더 메이,1,1,Y,,,2,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-04-27 00:20,1,66000,월문호텔더메이
e_e000294,봉화회관,0,2,Y,,,2,,,경기 용인시 처인구 포곡읍 부곡로 21,경기 용인시 처인구 포곡읍 전대리 164-3,,,,1,25000,
e_e000294,봉화회관,1,2,Y,,,2,,두부마당,경기 용인시 처인구 포곡읍 포곡로 339,경기 용인시 처인구 포곡읍 삼계리 401-3,3203129,4146125021,2023-05-21 11:47,1,32000,
e_e000294,한화리조트 용인베잔송,1,4,Y,,,2,,한화호텔앤드리조트(주)용인,경기 용인시 처인구 남사읍 봉무로153번길 79,경기 용인시 처인구 남사읍 봉무리 257-1,4409448,4146125921,2023-05-19 17:13,1,54200,
e_e000294,한화리조트 용인베잔송,2,4,Y,,,2,,한화호텔앤드리조트(주),서울 중구 통일로 92,서울 중구 순화동 1-170,3000008,1114016800,2023-05-20 08:25,1,22000,
e_e000301,콘래드 서울,1,1,Y,,,2,,에스아이에프씨호텔디벨로프먼트 유한회사,서울 영등포구 국제금융로8길 10,서울 영등포구 여의도동 34-9,4154067,1156011000,2023-05-19 15:56,1,324500,숙박비
e_e000317,토요코인호텔 영등포점,0,1,Y,,,1,,,서울 영등포구 신길로 293,서울 영등포구 영등포동1가 106,,,,3,59000,
e_e000323,제이모텔,1,2,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-23 13:22,3,65000,수원 장안 제이
e_e000332,누누모텔,1,2,Y,,,2,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-19 18:25,1,65000,MO-미니룸
e_e000334,호텔스테이지79,1,1,Y,,,2,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-25 00:00,1,48000,의정부 STAGE79
e_e000336,켄싱턴호텔 여의도,1,1,Y,,,3,,아고다,,,,,,1,242100,숙박비
e_e000336,호텔엠펠리체,1,1,Y,,,3,,아고다,,,,,,1,138141,숙박비
e_e000344,롯데호텔월드,1,1,Y,,,3,,(주)롯데호텔 롯데월드,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,3123023,1171010100,2023-05-19 14:11,1,444675,숙박비
e_e000345,W미니호텔,1,2,Y,,,3,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-03 23:33,1,60000,MO-디럭스트윈(넷플릭스)
e_e000347,펠리스빌,0,11,N,,,1,,,644-19,,,,,4,50000,
e_e000352,신라스테이 광화문,0,1,Y,,,2,,,서울 종로구 삼봉로 71,서울 종로구 수송동 156,,,,4,270000,
e_e000366,라마다앙코르바이윈덤 김포한강호텔,1,1,Y,,,3,,(주)메이트아이,서울 강서구 마곡동로 55,서울 강서구 마곡동 774-12,3155046,1150010500,2023-05-17 15:01,1,175130,라마다 앙코르 바이 윈덤 김포
e_e000369,신라스테이 광화문,1,1,Y,,,1,,㈜야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-05 00:00,3,257400,신라스테이 광화문
e_e000371,힐스테이트에코마곡나루역오피스텔,0,1,N,,,1,,,서울 강서구 마곡중앙로 161-11,서울 강서구 마곡동 760-1,,,,3,70000,
e_e000381,트멍캠핑장,0,5,Y,,,4,,,경기 포천시 소흘읍 광릉수목원로 932-2,경기 포천시 소흘읍 무림리 94-1,,,,5,120000,
e_e000384,캠핑주막,1,5,Y,,,2,,여주 캠핑주막,경기 여주시 북내면 당전로 470,,3214016,4167036031,2023-02-06 09:29,1,120000,숙박비
