TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,RSVT_YN,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e002471,1,주유비,0,자가용(승용/승합/트럭 등등),N,3,,,,,40000,
e_e000006,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,10000,
e_e000006,5,교통비,0,지하철,N,2,,,,,3600,
e_e000009,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,30000,
e_e000009,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,3800,
e_e000010,4,교통비,1,택시,N,1,,,2023-04-29 08:31,1,10500,택시비
e_e000010,4,교통비,2,택시,N,1,,(유)마일택시,2023-05-01 02:49,1,13610,택시비
e_e000010,50,교통비,0,버스 + 지하철,N,1,,,,,83400,
e_e000011,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,30000,
e_e000011,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,3400,
e_e000011,5,교통비,0,지하철,N,4,,,,,7500,
e_e000011,7,교통비,0,KTX/SRT(고속열차),N,4,,,,,232900,
e_e000013,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,65000,
e_e000013,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,20000,
e_e000014,1,주유비,0,자가용(승용/승합/트럭 등등),N,3,,,,,20000,
e_e000014,1,주차비,0,자가용(승용/승합/트럭 등등),N,3,,,,,25000,
e_e000014,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,7200,
e_e000015,50,교통비,0,버스 + 지하철,N,2,,,,,38000,
e_e000018,1,주차비,0,자가용(승용/승합/트럭 등등),N,3,,,,,4740,
e_e000020,1,주유비,0,자가용(승용/승합/트럭 등등),N,1,,,,,40000,
e_e000020,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,1500,
e_e000021,5,교통비,0,지하철,N,2,,,,,2500,
e_e000021,7,교통비,0,KTX/SRT(고속열차),N,2,,,,,10800,
