TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,CONSUME_HIS_SEQ,CONSUME_HIS_SNO,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,방문지,방문지 주소,비고
e_e002053,2306030007,2,0,0,1,1,4013801127,CU,경기 시흥시 비둘기공원7길 65,경기 시흥시 대야동 550-4,4397301,4139010100,2006-03-23 23:01,1,6500,새우깡블랙;뉴리뉴멀티,,CU 대야 센트럴점,경기 시흥시 비둘기공원7길 65,
e_e001001,2306090003,1,0,0,1,2,1338122244,가평(춘천)휴게소,경기 가평군 설악면 미사리로540번길 51,,4448077,4182031026,2006-09-23 20:16,1,5500,통감자 ,,가평휴게소 춘천 방향,경기 가평군 설악면 미사리로540번길 51,
e_e009156,2308260006,1,0,0,1,2,2204100795,개항백화,인천 중구 개항로 104,인천 중구 경동 114,3149001,2811013400,8/26/23 15:42,1,22000,ICED 아메리카노;개항로 맥주,,개항 백화,"인천 제물포구 개항로 104 2층, 3층",
e_e002077,2306010003,1,0,0,1,4,8912201616,경주십원빵,인천 중구 영종진광장로 5,인천 중구 중산동 1944-5,3351842,2811014500,2006-01-23 11:20,1,11000,,,경주 십원빵 영종점,인천 중구 영종진광장로 5,
e_e001949,2306010005,1,0,0,1,2,6323500769,단일서울,서울 성동구 왕십리로 66-33,서울 성동구 성수동1가 656-471,3005011,1120011400,2006-01-23 13:13,1,11000,,,단일 서울,서울 성동구 왕십리로 66-33,
e_e008565,2308260004,3,0,0,1,2,2167700096,대부도전동바이크(공원),경기 안산시 단원구 대부황금로 1504-1,경기 안산시 단원구 대부북동 1848-182,3191019,4127311100,8/26/23 12:25,1,38000,전동바이크 1시간 ,,에코바이크 대부점,경기 안산시 단원구 대부황금로 1504,
e_e002255,2306050002,1,0,0,1,3,4890200134,대운각,경기 파주시 파주읍 파발로16번길 32,경기 파주시 파주읍 파주리 450-2,4418811,4148025326,2006-05-23 13:33,1,32000,,,대운이 각,경기 파주시 파주읍 파발로16번길 32,
e_e000332,2305190003,1,0,0,0,2,,대현네,종로3가 포차거리,,,,,3,28000,,1111013700,대현네,서울특별시 종로구,
e_e012429,2309090002,1,0,0,1,2,4536900313,도깨비방망이,경기 양주시 장흥면 권율로 427,경기 양주시 장흥면 석현리 77,3212007,4163034024,2009-04-23 9:13,1,52000,장흥도깨비방망이 ,,도깨비방망이,경기 양주시 장흥면 권율로 427,
e_e001271,2306040002,1,0,0,2,4,3582501274,로이카페,경기 연천군 전곡읍 양연로 1510,,3215061,4180025321,2006-04-23 14:33,1,5500,주먹도끼빵,,연천 전곡리 선사유적지,경기 연천군 전곡읍 양연로 1510,
e_e007421,2308190005,3,0,0,1,2,3248502309,메가박스,경기 수원시 팔달구 덕영대로 924,경기 수원시 팔달구 매산로1가 18,3012001,4111513400,2008-08-23 17:34,1,21000,관람권,,메가박스 수원 AK플라자점,경기 수원시 팔달구 덕영대로 924,
e_e007548,2308160003,1,0,0,1,2,3062649861,몽실면당,경기 양평군 옥천면 신복길 15,경기 양평군 옥천면 신복리 1134,4451799,4183034023,8/16/23 14:36,1,32000,소고기국수,,동운 식당,경기 양평군 옥천면 신복길 15,
e_e000999,2305290001,1,2,2,1,4,6363800724,민영활어공장,서울 마포구 포은로8길 21,서울 마포구 망원동 414-6,4139615,1144012300,5/29/23 12:22,1,22000,,,망원시장,서울특별시 마포구,
e_e007552,2308250002,1,0,0,1,1,7812501135,벚골도토리전문점,경기 포천시 영북면 산정호수로 331,경기 포천시 영북면 산정리 517-34,3213016,4165039023,8/25/23 12:53,1,51000,물막국수;수육;옥수수 동동주;빈대떡,,벚굴 도토리 막국수,경기 포천시 관인면 숯골길 325,
e_e002401,2306040002,1,7,7,0,2,,빈대떡,02월 01일,,,,,1,6000,,1111015800,광장시장,서울 종로구 창경궁로 88,
e_e007860,2308200009,1,0,0,1,2,1352449232,빈대떡과찜,경기 수원시 장안구 송정로 101,,3174006,4111113500,8/20/23 19:43,1,13000,,,빈대떡과 찜 본점,경기 수원시 장안구 송정로 101,
e_e004100,2307070002,6,1,1,1,2,1358504288,삼성물산(주) 에버랜드리조트,경기 용인시 처인구 포곡읍 에버랜드로 199,,3203081,4146125027,2007-07-23 10:00,1,60000,코인 충전,,캐리비안베이,경기 용인시 처인구 포곡읍 에버랜드로 199,
e_e010722,2308250008,2,1,1,0,4,,세븐일레븐 이촌점,301-151,,,,,1,5500,,1117012900,이촌한강공원,서울 용산구 이촌로72길 62,
e_e003963,2306240003,2,1,1,3,2,1248128579,수원애경역사(주),경기 수원시 팔달구 덕영대로 924,,3012001,4111513400,6/24/23 0:00,1,22000,로미스토리 의류,,AK플라자 수원,경기 수원시 팔달구 덕영대로 924,
e_e000490,2306030001,1,0,0,1,1,2018121515,스타벅스,서울 종로구 북촌로4길 23,서울 종로구 계동 101-14,4100110,1111014800,2006-03-23 7:55,1,5500,I-T)DCF아메리카노,,스타벅스 북촌로점,서울 종로구 북촌로4길 23,
e_e004342,2307030007,1,1,1,1,1,2892701477,스페이스작아트벙커,경기 부천시 삼작로 53,경기 부천시 삼정동 363-4,3186004,4119012300,2007-03-23 17:49,1,12500,한라봉에이드,,부천아트 벙커 B39,경기 부천시 삼작로 53,
e_e007803,2308200005,1,0,0,0,1,,시골막국수,630-104,,,,,1,11000,,1138010300,시골막국수,서울 은평구 진흥로19길 2-8,
e_e005247,2307280009,1,0,0,0,2,,아이스걸크림보이여의도점,여의대방로69길 19 힐스테이트여의도파인루체오피스텔 1층 108호,,,,,1,7000,,1156011000,아이스 걸 드림 보이 여의도점,서울 영등포구 여의대방로69길 19,
e_e008489,2308250002,3,2,2,1,1,1268676562,아이에스에이치(미술관),경기 이천시 모가면 진상미로1163번길 220,경기 이천시 모가면 서경리 763,4421793,4150036022,8/25/23 12:40,1,22000,입장권,,라고 드라비,경기 이천시 모가면 진상미로1163번길 220,
e_e002471,2306140006,3,0,0,1,3,3382700085,아침고요치유의숲,경기 가평군 상면 임초밤안골로 301,,3216033,4182033024,6/14/23 17:16,1,4000,입장권,,아침 고요 가족 동물원,경기 가평군 상면 임초밤안골로 301,
e_e002176,2306040002,3,0,0,2,1,1278300031,양주시립장욱진미술관(문화비),경기 양주시 장흥면 권율로 193,경기 양주시 장흥면 석현리 산 1,3212007,4163034024,2006-04-23 11:28,1,8000,입장권,,양주시립 장욱진미술관,경기 양주시 장흥면 권율로 193,
e_e002204,2306040001,1,0,0,1,4,2231266011,어무이맛 양평해장국,경기 양평군 용문면 용문로 374,경기 양평군 용문면 다문리 322-3,3217042,4183040024,2006-04-23 11:59,1,44000,우거지해장국;우거지(맵게),,어머니 맛 양평 해장국 용문점,경기 양평군 용문면 용문로 374,
e_e000734,2305220003,2,0,0,1,1,7709100015,에덴플라워,경기 고양시 덕양구 서오릉로 509,경기 고양시 덕양구 용두동 425-3,3000007,4128111300,5/22/23 0:00,1,45000,금전수 화분,,서오릉 화훼 단지,경기 고양시 덕양구 서오릉로 501,
e_e001125,2305270002,6,0,0,1,2,3823000627,연우살롱,경기 안양시 만안구 양화로 41,경기 안양시 만안구 안양동 943,3182018,4117110100,5/27/23 12:04,3,45000,,,연우 살롱,경기 안양시 만안구 양화로 41,
e_e007200,2308110002,1,1,1,1,2,4506200445,열두알 우동집,경기 수원시 팔달구 정조로801번길 31,경기 수원시 팔달구 남창동 77-2,4328282,4111512300,2008-11-23 12:14,1,28000,연어냉모밀;바질비빔면,,열두 알우 똥집,경기 수원시 팔달구 정조로801번길 31,
