TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,활동소비내역중복여부,숙박소비내역중복여부
e_e000004,연무대 어차,1,3,1358215727,수원문화재단,경기 수원시 팔달구 행궁로 11,,3176017,4111512300,4/30/23 14:15,3,9500,화성어차 ,,0,0
e_e000011,체험예약,0,4,,후후라운지,옥인3길8,,,,,1,140000,,1111011100,0,0
e_e000030,ITX열차표,1,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,4/29/23 0:00,1,0,기차표,,0,0
e_e000030,ITX열차표,2,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,,1,0,기차표,,0,0
e_e000037,음료,1,1,,카페윤,서울 금천구 독산로50길 60-12,서울 금천구 시흥동 793,4151113,1154510300,4/30/23 18:14,1,9500,,,0,0
e_e000334,니지모리 스튜디오 입장권,1,2,,(주)타이드스퀘어 투어비스,서울 중구 남대문로 78,,3101001,1114012600,5/23/23 21:56,1,34000,니지모리 스튜디오 입장권,,0,0
e_e000338,더이더리뷔페 예약시 결제,2,1,3678500031,(주)조선호텔앤리조트포포인츠조선서울역,서울 용산구 한강대로 366,,2005005,1117010700,5/12/23 0:00,3,50350,"포포인츠 바이 쉐라톤 조선, 서울역(더이터리)",,0,0
e_e000355,GS편의점,1,3,4046800347,GS25,서울 마포구 망원로3길 8,서울 마포구 망원동 421-30,4139201,1144012300,5/21/23 8:31,1,8200,맵떡치즈호빵;삼각_스팸참치2;풀)스팸김치2편;버섯소불고기;모구모구블랙,,0,0
e_e000366,캠핑장에서 먹을거리(이마트),1,3,2068650913,이마트,경기 고양시 덕양구 백양로 79,경기 고양시 덕양구 화정동 976,3192027,4128112300,5/19/23 16:34,1,56350,피치니 메모로로쏘;적상추(양촌);토미카 메르세데스벤;호주냉장와규등심살;그릴비엔나,,0,0
e_e000377,공연티켓,1,4,,안산문화재단 달맞이극장,경기 안산시 단원구 화랑로 312,경기 안산시 단원구 고잔동 817,3190080,4127310100,5/9/23 22:26,1,38000,관람권,,0,0
e_e000384,캠핑가서 먹을거리들!!,1,2,2618123567,주식회사 컬리,서울 강남구 테헤란로 133,,3122010,1168010100,6/3/23 12:28,1,46700,흙대파1단; 얼큰 미나리 샤브샤브; 양파; 새송이버섯; 왕의안주-모듬꼬치세트,,0,0
