TRAVELER_ID,GENDER,AGE_GRP,INCOME,RESIDENCE_SGG_CD,RESIDENCE_SIDO_NM,MARR_STTS,JOB_NM,TRAVEL_NUM,TRAVEL_DAYS_SUM,VISIT_AREA_CNT,RESIDENCE_TIME_MIN_AVG,PAYMENT_AMT_WON_PER_UNIT,PAYMENT_AMT_WON_SUM,PAYMENT_AMT_WON_PER_PERSON,PAYMENT_AMT_WON_PER_DAY,LODGE_PAYMENT_AMT_WON_SUM,ACTIVITY_PAYMENT_AMT_WON_SUM,MVMN_PAYMENT_AMT_WON_SUM,LODGING_TYPE_CD,LODGING_YN,ACTIVITY_TYPE_CD_CNT,MVMN_NM,TRAVEL_PURPOSE,TRAVEL_COMPANION_TYPE,TRAVEL_COMPANIONS_NUM,VISIT_SIDO_SGG_NM,DGSTFN_AVG,REVISIT_INTENTION_AVG,RCMDTN_INTENTION_AVG,TRAVEL_LIKE_SGG_1,TRAVEL_STYL_ALL,TRAVEL_MOTIVE_ALL,COMPANION_AGE_GRP_1,COMPANION_AGE_GRP_2,COMPANION_AGE_GRP_3,COMPANION_AGE_GRP_4,COMPANION_AGE_GRP_5,COMPANION_GENDER_1,COMPANION_GENDER_2,COMPANION_GENDER_3,COMPANION_GENDER_4,COMPANION_GENDER_5,VALUE_SEGMENT,VALUE_SEGMENT_SUB
e000004,남,40,월평균 500만원 ~ 600만원 미만,41,경기도,기혼,전문가 및 관련 종사자,1,1,5,135,3166.666667,9500,3166.666667,9500,0,0,0,,N,,,역사 유적지 방문,자녀 동반 여행,3,경기도 화성시,4,3.333333333,3.666666667,50110,"도시 선호 약간선호,자연 선호 약간선호,도시 선호 약간선호,중립,도시 선호 약간선호,중립,자연 선호 중간선호,도시 선호 약간선호","일상적인 환경 및 역할에서의 탈출, 지루함 탈피,여행 동반자와의 친밀감 및 유대감 증진,",30대,~9세이하,,,,여자,남자,,,,C,C0
e000006,남,30,월평균 300만원 ~ 400만원 미만,11,서울특별시,미혼,사무 종사자,4,2,11,102,18025,72100,36050,36050,0,58500,13600,,N,2,"자가용(승용/승합/트럭 등등),지하철",Well-ness 여행,2인 가족 여행,2,서울특별시 동대문구,4.75,4.75,4.75,26350,"자연 선호 약간선호,자연 선호 약간선호,자연 선호 중간선호,중립,도시 선호 약간선호,중립,자연 선호 약간선호,자연 선호 중간선호","일상적인 환경 및 역할에서의 탈출, 지루함 탈피,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,여행 동반자와의 친밀감 및 유대감 증진",20대,,,,,남자,,,,,C,C0
e000009,여,30,월평균 200만원 ~ 300만원 미만,28,인천광역시,미혼,사무 종사자,1,2,12,193.6363636,88285,353140,176570,176570,0,319340,33800,,N,3,자가용(승용/승합/트럭 등등),"테마파크, 놀이시설, 동/식물원 방문;시티투어",2인 여행(가족 외),2,,4.5,4.5,4.5,42150,"자연 선호 약간선호,자연 선호 중간선호,자연 선호 약간선호,자연 선호 약간선호,자연 선호 중간선호,도시 선호 중간선호,중립,도시 선호 매우선호","여행 동반자와의 친밀감 및 유대감 증진,일상적인 환경 및 역할에서의 탈출, 지루함 탈피,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",30대,,,,,남자,,,,,A,A0
e000010,여,30,월평균 200만원 ~ 300만원 미만,48,경상남도,미혼,사무 종사자,2,2,15,177.8571429,264335,528670,528670,264335,0,421160,107510,,N,2,"버스 + 지하철,택시",역사 유적지 방문;지역 문화예술/공연/전시시설 관람,나홀로 여행,1,서울특별시 은평구,4.25,4.25,3.916666667,11710,"도시 선호 약간선호,중립,자연 선호 약간선호,자연 선호 중간선호,도시 선호 약간선호,중립,도시 선호 약간선호,자연 선호 약간선호","역사 탐방, 문화적 경험 등 교육적 동기,일상적인 환경 및 역할에서의 탈출, 지루함 탈피,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",,,,,,,,,,,A,A0
e000011,여,60,월평균 500만원 ~ 600만원 미만,48,경상남도,기혼,전문가 및 관련 종사자,1,3,14,156.9230769,98175,1178100,294525,392700,0,764300,273800,,N,2,"KTX/SRT(고속열차),자가용(승용/승합/트럭 등등),지하철",쇼핑;Well-ness 여행,3인 이상 여행(가족 외),4,경기도 과천시,3.9,3.7,3.8,48220,"자연 선호 약간선호,자연 선호 약간선호,자연 선호 약간선호,중립,자연 선호 중간선호,중립,도시 선호 중간선호,도시 선호 중간선호","여행 동반자와의 친밀감 및 유대감 증진,새로운 경험 추구,일상적인 환경 및 역할에서의 탈출, 지루함 탈피",50대,50대,50대,,,여자,여자,여자,,,A,A0
e000013,여,20,월평균 200만원 ~ 300만원 미만,45,전라북도,미혼,사무 종사자,4,2,8,188.5714286,92402.5,739220,184805,369610,240000,414220,85000,"야영(캠핑,글램핑등)",Y,2,자가용(승용/승합/트럭 등등),쇼핑;SNS 인생샷 여행;신규 여행지 발굴;지역 문화예술/공연/전시시설 관람,부모 동반 여행,4,,4.666666667,4.333333333,4.333333333,11110,"도시 선호 중간선호,자연 선호 매우선호,자연 선호 매우선호,자연 선호 중간선호,도시 선호 중간선호,자연 선호 중간선호,자연 선호 매우선호,자연 선호 중간선호","여행 동반자와의 친밀감 및 유대감 증진,일상적인 환경 및 역할에서의 탈출, 지루함 탈피,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",50대,50대,20대,,,남자,여자,여자,,,A,B1
e000014,남,60,월평균 500만원 ~ 600만원 미만,28,인천광역시,기혼,사무 종사자,2,1,3,345,80400,241200,80400,241200,0,189000,52200,,N,3,자가용(승용/승합/트럭 등등),"테마파크, 놀이시설, 동/식물원 방문",자녀 동반 여행,3,,5,5,5,50130,"자연 선호 약간선호,자연 선호 약간선호,자연 선호 중간선호,자연 선호 중간선호,자연 선호 중간선호,중립,자연 선호 중간선호,도시 선호 중간선호","여행 동반자와의 친밀감 및 유대감 증진,특별한 목적(칠순여행, 신혼여행, 수학여행, 인센티브여행),일상적인 환경 및 역할에서의 탈출, 지루함 탈피",40대,~9세이하,,,,여자,여자,,,,B,A0
e000015,남,20,월평균 100만원 미만,45,전라북도,미혼,학생,2,4,24,61.30434783,61450,491600,245800,122900,0,453600,38000,,N,3,버스 + 지하철,유흥/오락(나이트라이프),2인 여행(가족 외),2,"서울특별시 광진구,전라북도 전주시 덕진구",3.888888889,3.333333333,3.5,50130,"도시 선호 중간선호,자연 선호 약간선호,자연 선호 약간선호,중립,자연 선호 약간선호,도시 선호 중간선호,도시 선호 중간선호,도시 선호 약간선호","여행 동반자와의 친밀감 및 유대감 증진,일상적인 환경 및 역할에서의 탈출, 지루함 탈피,기타",20대,,,,,남자,,,,,B,B0
e000016,남,30,월평균 200만원 ~ 300만원 미만,11,서울특별시,미혼,사무 종사자,1,1,4,180,135300,135300,135300,135300,0,135300,0,,N,2,,쇼핑;SNS 인생샷 여행;시티투어,나홀로 여행,1,,4,4,4,11500,"자연 선호 중간선호,도시 선호 중간선호,자연 선호 중간선호,중립,도시 선호 약간선호,도시 선호 중간선호,도시 선호 중간선호,자연 선호 매우선호","일상적인 환경 및 역할에서의 탈출, 지루함 탈피,진정한 자아 찾기 또는 자신을 되돌아볼 기회 찾기,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",,,,,,,,,,,A,A0
e000018,여,40,소득없음 ,41,경기도,기혼,전업주부,6,1,4,220,21080,63240,21080,63240,0,58500,4740,,N,2,자가용(승용/승합/트럭 등등),"테마파크, 놀이시설, 동/식물원 방문;교육/체험 프로그램 참가",자녀 동반 여행,3,,5,5,5,41360,"자연 선호 중간선호,자연 선호 매우선호,자연 선호 중간선호,도시 선호 매우선호,중립,자연 선호 매우선호,자연 선호 중간선호,자연 선호 중간선호","일상적인 환경 및 역할에서의 탈출, 지루함 탈피,새로운 경험 추구,역사 탐방, 문화적 경험 등 교육적 동기",~9세이하,~9세이하,,,,여자,여자,,,,C,C0
e000020,여,40,월평균 500만원 ~ 600만원 미만,11,서울특별시,기혼,전문가 및 관련 종사자,10,2,13,80,146262.5,292525,292525,146262.5,84375,166650,41500,호텔,Y,3,자가용(승용/승합/트럭 등등),등반 여행;Well-ness 여행,나홀로 여행,1,서울특별시 서대문구,4.363636364,3.818181818,4.181818182,42230,"도시 선호 약간선호,자연 선호 중간선호,자연 선호 중간선호,자연 선호 약간선호,도시 선호 약간선호,자연 선호 약간선호,중립,자연 선호 중간선호","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,일상적인 환경 및 역할에서의 탈출, 지루함 탈피,진정한 자아 찾기 또는 자신을 되돌아볼 기회 찾기",,,,,,,,,,,A,A1
e000021,남,20,월평균 600만원 ~ 700만원 미만,11,서울특별시,미혼,사무 종사자,3,2,16,76,50850,203400,101700,101700,70000,120100,13300,호텔,Y,2,"KTX/SRT(고속열차),지하철",신규 여행지 발굴,2인 여행(가족 외),2,,4.071428571,4,4,42820,"도시 선호 중간선호,자연 선호 중간선호,도시 선호 중간선호,자연 선호 중간선호,자연 선호 중간선호,자연 선호 중간선호,도시 선호 중간선호,자연 선호 중간선호","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,여행 동반자와의 친밀감 및 유대감 증진,새로운 경험 추구",30대,,,,,남자,,,,,B,C1
e000022,남,40,월평균 500만원 ~ 600만원 미만,11,서울특별시,기혼,기능원 및 관련 기능 종사자,1,1,5,135,118300,236600,118300,236600,0,200000,36600,,N,2,자가용(승용/승합/트럭 등등),SNS 인생샷 여행;반려동물 동반 여행,2인 가족 여행,2,,4.333333333,4.333333333,4.333333333,42210,"자연 선호 매우선호,자연 선호 매우선호,중립,자연 선호 약간선호,자연 선호 매우선호,도시 선호 중간선호,도시 선호 중간선호,도시 선호 중간선호","여행 동반자와의 친밀감 및 유대감 증진,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,일상적인 환경 및 역할에서의 탈출, 지루함 탈피",40대,,,,,남자,,,,,A,A0
