테이블,행 수,컬럼 수,결측 셀 수,결측치 비율(%),후보 키 중복 행,음수 금액,0원 결제,구분,병합,병합 전 행 수,병합 후 행 수,왼쪽 중복 키,오른쪽 중복 키,참조키 미매칭,상태,항목,건수
여행객,2880.0,36.0,3839.0,3.7,0.0,0.0,0.0,테이블 현황,,,,,,,,,
여행,2880.0,10.0,346.0,1.2,0.0,0.0,0.0,테이블 현황,,,,,,,,,
방문지,24154.0,23.0,160969.0,28.98,0.0,0.0,0.0,테이블 현황,,,,,,,,,
활동,26805.0,9.0,80001.0,33.16,0.0,0.0,0.0,테이블 현황,,,,,,,,,
활동 소비,13275.0,18.0,27534.0,11.52,0.0,0.0,78.0,테이블 현황,,,,,,,,,
사전 소비,716.0,15.0,2190.0,20.39,0.0,0.0,25.0,테이블 현황,,,,,,,,,
숙박 소비,843.0,18.0,4608.0,30.37,0.0,0.0,59.0,테이블 현황,,,,,,,,,
이동 소비,4624.0,13.0,20944.0,34.84,0.0,0.0,15.0,테이블 현황,,,,,,,,,
이동 이력,24154.0,8.0,71492.0,37.0,0.0,0.0,0.0,테이블 현황,,,,,,,,,
동반자,3977.0,6.0,0.0,0.0,0.0,0.0,0.0,테이블 현황,,,,,,,,,
관광사진,16469.0,12.0,6002.0,3.04,0.0,0.0,0.0,테이블 현황,,,,,,,,,
시군구 코드,30.0,12.0,87.0,24.17,0.0,0.0,0.0,테이블 현황,,,,,,,,,
,,,,,,,,병합 검증,활동-활동소비(4개 복합키),26805.0,26805.0,0.0,0.0,14548.0,성공,,
,,,,,,,,병합 검증,방문지-활동 집계,24154.0,24154.0,0.0,0.0,6334.0,성공,,
,,,,,,,,병합 검증,방문지-사진 집계,24154.0,24154.0,0.0,0.0,16935.0,성공,,
,,,,,,,,병합 검증,여행-여행객,2880.0,2880.0,0.0,0.0,0.0,성공,,
,,,,,,,,병합 검증,여행-방문지 집계,2880.0,2880.0,0.0,0.0,0.0,성공,,
,,,,,,,,병합 검증,여행-활동 집계,2880.0,2880.0,0.0,0.0,0.0,성공,,
,,,,,,,,병합 검증,여행-이동 집계,2880.0,2880.0,0.0,0.0,0.0,성공,,
,,,,,,,,병합 검증,여행-동반자 집계,2880.0,2880.0,0.0,0.0,629.0,성공,,
,,,,,,,,병합 검증,여행-사진 집계,2880.0,2880.0,0.0,0.0,0.0,성공,,
,,,,,,,,병합 검증,여행-소비 집계,2880.0,2880.0,0.0,0.0,1.0,성공,,
,,,,,,,,이상치 점검,,,,,,,,날짜 역전,0.0
,,,,,,,,이상치 점검,,,,,,,,이상 체류시간(음수 또는 7일 초과),0.0
