TRAVEL_ID,여행객 ID,여행 시작일,여행 종료일,여행 목적,성별,연령대,소득,방문지 수,방문 체류시간(분),활동 수,이동 수,동반자 수,사진 수,사전 소비(원),숙박 소비(원),이동 소비(원),활동 소비(원),여행기간(일),총지출(원),일평균 지출(원)
e_e000004,e000004,2023-04-30,2023-05-01,3,남,40,7,5,0,3,5,2,3,9500,0,0,0,2,9500,4750
e_e000006,e000006,2023-04-30,2023-05-02,21,남,30,5,11,0,11,11,1,4,0,0,13600,58500,3,72100,24033.33333
e_e000009,e000009,2023-04-29,2023-05-01,2;4,여,30,4,12,0,15,12,1,2,0,0,33800,319340,3,353140,117713.3333
e_e000010,e000010,2023-04-29,2023-05-01,3;6,여,30,4,15,0,18,15,0,5,0,0,107510,421160,3,528670,176223.3333
e_e000011,e000011,2023-04-28,2023-05-01,1;21,여,60,7,14,0,16,14,3,5,140000,0,273800,764300,4,1178100,294525
e_e000013,e000013,2023-04-28,2023-04-30,1;22;24;6,여,20,4,8,0,11,8,3,3,0,240000,85000,414220,3,739220,246406.6667
e_e000014,e000014,2023-05-01,2023-05-02,2,남,60,7,3,0,3,3,2,2,0,0,52200,189000,2,241200,120600
e_e000015,e000015,2023-04-28,2023-05-02,7,남,20,2,24,0,23,24,1,1,0,0,38000,453600,5,491600,98320
e_e000016,e000016,2023-04-29,2023-04-30,1;22;4,남,30,4,4,0,4,4,0,4,0,0,0,135300,2,135300,67650
e_e000018,e000018,2023-04-29,2023-04-30,2;11,여,40,1,4,0,2,4,2,8,0,0,4740,58500,2,63240,31620
e_e000020,e000020,2023-04-29,2023-05-01,28;21,여,40,7,13,0,22,13,0,3,0,84375,41500,166650,3,292525,97508.33333
e_e000021,e000021,2023-04-29,2023-05-01,24,남,20,8,16,0,14,16,1,6,0,70000,13300,120100,3,203400,67800
e_e000022,e000022,2023-04-29,2023-04-30,22;25,남,40,7,5,0,4,5,1,5,0,0,36600,200000,2,236600,118300
e_e000023,e000023,2023-04-29,2023-04-30,4,남,60,4,7,0,9,7,2,6,0,0,25000,49300,2,74300,37150
e_e000025,e000025,2023-04-30,2023-05-01,22,여,40,4,5,0,5,5,2,1,0,0,0,65600,2,65600,32800
e_e000030,e000030,2023-04-29,2023-04-30,21,남,50,11,5,0,2,5,0,3,0,0,13800,0,2,13800,6900
e_e000037,e000037,2023-04-30,2023-05-01,22,여,30,4,4,0,5,4,0,8,9500,0,0,52000,2,61500,30750
e_e000038,e000038,2023-04-28,2023-04-30,21;22;23,남,30,6,9,0,11,9,1,3,0,66000,40000,184600,3,290600,96866.66667
e_e000039,e000039,2023-04-29,2023-04-30,2,남,40,2,9,0,10,9,1,2,0,0,57300,116500,2,173800,86900
e_e000040,e000040,2023-04-28,2023-04-30,3;4,남,30,5,9,0,5,9,1,3,0,0,10000,64400,3,74400,24800
e_e000041,e000041,2023-04-28,2023-05-01,4;7,남,60,11,16,0,14,16,1,6,0,0,86000,163500,4,249500,62375
e_e000042,e000042,2023-05-01,2023-05-02,12;24;5,여,20,4,8,0,7,8,1,1,0,0,69800,72000,2,141800,70900
e_e000045,e000045,2023-04-29,2023-05-01,25,여,60,2,7,0,13,7,1,3,0,0,35600,40070,3,75670,25223.33333
e_e000046,e000046,2023-04-28,2023-04-29,5,남,60,4,4,0,7,4,3,2,0,0,42200,180300,2,222500,111250
e_e000293,e000293,2023-05-28,2023-05-29,1;22;4;6,여,30,3,11,0,12,11,0,9,0,0,18700,151600,2,170300,85150
e_e000294,e000294,2023-05-19,2023-05-22,1;2;23;26,여,20,3,7,0,21,7,1,14,0,133200,83300,386300,4,602800,150700
e_e000296,e000296,2023-05-23,2023-05-26,9;11;21;26;1;22;23,여,30,5,13,0,11,13,0,8,0,0,8000,106600,4,114600,28650
e_e000299,e000299,2023-05-27,2023-05-29,3;6,여,50,3,14,0,13,14,0,4,0,0,115200,257400,3,372600,124200
e_e000301,e000301,2023-05-19,2023-05-21,22;23;26;4,남,20,4,7,0,7,7,1,2,0,324500,14000,28100,3,366600,122200
e_e000302,e000302,2023-05-19,2023-05-22,2;21;22;26,여,20,4,19,0,18,19,0,1,0,0,84600,501200,4,585800,146450
e_e000307,e000307,2023-05-21,2023-05-22,3,남,30,4,8,0,7,8,0,1,0,0,52400,37800,2,90200,45100
e_e000311,e000311,2023-05-27,2023-05-28,2;22;26;5,남,30,5,8,0,6,8,2,5,0,0,33200,71800,2,105000,52500
e_e000317,e000317,2023-05-27,2023-05-30,1;12;4;5;7,남,30,4,30,0,29,30,0,7,0,59000,8700,137700,4,205400,51350
e_e000319,e000319,2023-05-31,2023-06-03,1;12;24;5;6,여,50,3,22,0,24,22,0,7,0,0,4350,98100,4,102450,25612.5
e_e000322,e000322,2023-06-05,2023-06-08,1;24;3;5;6,남,60,5,19,0,18,19,0,3,0,0,3300,11000,4,14300,3575
e_e000323,e000323,2023-05-27,2023-05-29,22;26;1;2;4,여,20,3,14,0,17,14,1,9,0,65000,17600,141400,3,224000,74666.66667
e_e000329,e000329,2023-05-26,2023-05-29,1;12;7;9,여,20,4,16,0,16,16,1,13,0,0,0,537060,4,537060,134265
e_e000331,e000331,2023-05-28,2023-05-31,1;2,여,30,5,13,0,18,13,0,7,0,0,121900,287400,4,409300,102325
e_e000332,e000332,2023-05-19,2023-05-21,1;2;5;7;9,남,20,3,7,0,7,7,1,4,0,65000,60300,243000,3,368300,122766.6667
e_e000334,e000334,2023-05-28,2023-05-30,1;22;26;6;9,여,20,4,8,0,11,8,1,10,34000,48000,6000,156900,3,244900,81633.33333
e_e000336,e000336,2023-05-27,2023-05-30,3;11;23;26,여,30,5,9,0,11,9,2,2,0,380241,0,160100,4,540341,135085.25
e_e000338,e000338,2023-05-19,2023-05-20,21;22;24;26;6,여,40,3,9,0,9,9,0,3,50350,0,21800,12500,2,84650,42325
e_e000342,e000342,2023-05-19,2023-05-22,1;21;22;24;4,남,60,5,18,0,25,18,5,22,0,0,132720,531900,4,664620,166155
e_e000344,e000344,2023-05-19,2023-05-21,1;12;2;3;6,남,30,5,7,0,17,7,2,5,0,444675,23500,168000,3,636175,212058.3333
e_e000345,e000345,2023-05-19,2023-05-21,22;6;9,남,30,1,13,0,16,13,2,4,0,60000,27400,660100,3,747500,249166.6667
e_e000346,e000346,2023-05-27,2023-05-28,21;22;24,남,60,6,4,0,2,4,2,2,0,0,40000,27000,2,67000,33500
e_e000347,e000347,2023-05-26,2023-05-30,2;4;8,남,40,5,22,0,19,22,0,2,0,50000,114200,873940,5,1038140,207628
e_e000350,e000350,2023-05-18,2023-05-19,1;2;22,여,30,1,5,0,5,5,2,3,0,0,3000,43500,2,46500,23250
e_e000352,e000352,2023-05-21,2023-05-23,22;23;6;7,여,30,5,13,0,15,13,1,1,0,270000,55700,349400,3,675100,225033.3333
e_e000353,e000353,2023-05-23,2023-05-24,1;22;6,여,40,2,7,0,8,7,0,14,0,0,2000,25000,2,27000,13500
e_e000355,e000355,2023-05-21,2023-05-22,1;11;2;6,여,40,1,3,0,5,3,2,3,8200,0,88100,101800,2,198100,99050
e_e000357,e000357,2023-05-15,2023-05-16,1,여,30,5,10,0,8,10,0,4,0,0,11700,1507300,2,1519000,759500
e_e000360,e000360,2023-05-29,2023-05-30,21;22;24;26;9,남,30,5,5,0,7,5,1,3,0,0,30000,62600,2,92600,46300
e_e000362,e000362,2023-05-15,2023-05-17,1;2;22;5;8,여,40,5,7,0,9,7,1,15,0,0,30000,196000,3,226000,75333.33333
e_e000364,e000364,2023-05-16,2023-05-19,1;3;6,여,30,4,9,0,10,9,0,21,0,0,15450,22700,4,38150,9537.5
e_e000366,e000366,2023-05-20,2023-05-22,2;5;6;8;9,여,40,3,7,0,15,7,2,1,56350,175130,0,78930,3,310410,103470
e_e000369,e000369,2023-06-05,2023-06-07,1;3;6,여,30,4,13,0,17,13,0,7,0,257400,11000,151300,3,419700,139900
e_e000371,e000371,2023-05-26,2023-05-29,1;11;4;7;9,여,30,8,11,0,15,11,0,7,0,70000,12600,110900,4,193500,48375
e_e000373,e000373,2023-05-20,2023-05-21,21;24;26;4,여,60,1,5,0,4,5,3,1,0,0,20000,93300,2,113300,56650
e_e000375,e000375,2023-06-03,2023-06-05,26;6;11;8;21;22;28;2,여,40,4,14,0,14,14,3,10,0,0,55000,273900,3,328900,109633.3333
e_e000376,e000376,2023-05-29,2023-05-30,3;4;22,여,50,1,6,0,6,6,2,4,0,0,3600,66900,2,70500,35250
e_e000377,e000377,2023-05-21,2023-05-22,1;11;21;22;6,여,30,1,6,0,5,6,3,3,38000,0,0,147900,2,185900,92950
e_e000379,e000379,2023-05-28,2023-05-29,11,남,40,7,6,0,5,6,2,8,0,0,49504,107000,2,156504,78252
e_e000381,e000381,2023-06-02,2023-06-05,22;24;26;5;8,여,30,3,5,0,11,5,3,8,0,120000,0,51000,4,171000,42750
e_e000384,e000384,2023-06-04,2023-06-07,21;22;25;3;8,여,30,8,10,0,16,10,1,2,46700,120000,38000,138030,4,342730,85682.5
e_e000385,e000385,2023-05-21,2023-05-23,8,남,30,4,9,0,11,9,1,7,146440,250000,0,112700,3,509140,169713.3333
e_e000387,e000387,2023-06-02,2023-06-05,2;27;5;7;8,남,30,1,6,0,14,6,3,2,49580,150000,30000,44500,4,274080,68520
e_e000395,e000395,2023-05-20,2023-05-22,1;2;22;23;4,여,40,4,8,0,15,8,2,10,0,172050,0,188500,3,360550,120183.3333
e_e000396,e000396,2023-05-20,2023-05-22,23,여,30,2,11,0,12,11,1,3,0,543400,52000,168600,3,764000,254666.6667
e_e000397,e000397,2023-05-28,2023-05-30,21;22;24;6,여,50,5,4,0,5,4,2,6,120000,200000,41500,31000,3,392500,130833.3333
e_e000400,e000400,2023-05-16,2023-05-17,21;22;24;26,남,50,1,3,0,2,3,3,3,0,0,15000,32400,2,47400,23700
e_e000403,e000403,2023-05-27,2023-05-29,10;21;22;6,여,40,4,13,0,12,13,2,4,0,103370,107330,213700,3,424400,141466.6667
e_e000406,e000406,2023-05-20,2023-05-22,11;2;24;3;9,여,60,2,7,0,7,7,2,1,0,0,50000,101000,3,151000,50333.33333
e_e000407,e000407,2023-05-27,2023-05-28,2;21;22;24;26,여,50,4,7,0,5,7,4,1,0,0,52000,170000,2,222000,111000
e_e000409,e000409,2023-05-23,2023-05-24,2;21;26;22,여,60,2,5,0,10,5,2,4,0,0,35000,80300,2,115300,57650
e_e000412,e000412,2023-06-03,2023-06-05,1;3;6;22,여,20,1,20,0,21,20,0,26,81626,81626,5600,112800,3,281652,93884
e_e000418,e000418,2023-06-03,2023-06-05,8;22;5,여,40,5,7,0,9,7,2,5,0,25300,50000,48500,3,123800,41266.66667
e_e000422,e000422,2023-06-04,2023-06-07,1;11;22;3;4,여,40,1,14,0,26,14,0,13,0,281358,29250,55600,4,366208,91552
e_e000425,e000425,2023-05-20,2023-05-21,22,여,30,6,4,0,6,4,3,3,0,0,1900,41800,2,43700,21850
e_e000429,e000429,2023-06-03,2023-06-04,1;4;22;6,여,40,4,4,0,6,4,2,2,0,0,11800,74400,2,86200,43100
e_e000430,e000430,2023-05-22,2023-05-26,1;2;4;5;7;10;21;22;24;26,남,20,4,17,0,26,17,0,4,4400,115000,38000,140000,5,297400,59480
e_e000432,e000432,2023-05-21,2023-05-23,1;22;23;4;5,여,20,4,11,0,11,11,1,21,0,215600,12050,136500,3,364150,121383.3333
e_e000433,e000433,2023-05-15,2023-05-16,2;22;26;4;8,여,20,4,5,0,6,5,1,6,0,0,34250,68890,2,103140,51570
