TRAVEL_ID,VISIT_AREA_ID,TRAVEL_VISIT_KEY,방문 순서,방문지명,시군구,방문지 유형,체류시간(분),만족도,재방문 의향,추천 의향,활동 수,활동 소비,사진 수
e_e000004,2304300001,e_e000004|2304300001,1,집,4159011800,21,0.0,,,,0.0,0.0,0.0
e_e000004,2304300002,e_e000004|2304300002,2,화성 관광열차 안내소 연무대 매표소,,2,0.0,,3.0,,1.0,0.0,2.0
e_e000004,2304300003,e_e000004|2304300003,3,창룡문,,2,0.0,,4.0,,1.0,0.0,0.0
e_e000004,2304300004,e_e000004|2304300004,4,수원 화성 화홍문,,2,0.0,,3.0,,1.0,0.0,1.0
e_e000004,2304300005,e_e000004|2304300005,5,집,4159011800,21,0.0,,,,0.0,0.0,0.0
e_e000006,2304300001,e_e000006|2304300001,1,집,1123010300,21,0.0,,,,0.0,0.0,0.0
e_e000006,2304300002,e_e000006|2304300002,2,청량리역 경춘선,,9,0.0,,5.0,,1.0,0.0,0.0
e_e000006,2304300003,e_e000006|2304300003,3,청평역 경춘선,,9,0.0,,5.0,,1.0,0.0,0.0
e_e000006,2304300004,e_e000006|2304300004,4,경춘선 자전거길,,1,0.0,,5.0,,1.0,0.0,3.0
e_e000006,2304300005,e_e000006|2304300005,5,베이커리 시어터,,11,0.0,,4.0,,2.0,6500.0,1.0
e_e000006,2304300006,e_e000006|2304300006,6,백암천,,12,0.0,,5.0,,3.0,19000.0,0.0
e_e000006,2304300007,e_e000006|2304300007,7,자시오 잣 주꾸미,,11,0.0,,4.0,,1.0,33000.0,0.0
e_e000006,2304300008,e_e000006|2304300008,8,신창현 풍림아이원 1차 아파트,,22,0.0,,,,0.0,0.0,0.0
e_e000006,2305010001,e_e000006|2305010001,9,마석역 경춘선,,9,0.0,,5.0,,1.0,0.0,0.0
e_e000006,2305010002,e_e000006|2305010002,10,청량리역,,9,0.0,,5.0,,1.0,0.0,0.0
e_e000006,2305010003,e_e000006|2305010003,11,집,1123010300,21,0.0,,,,0.0,0.0,0.0
e_e000009,2304290001,e_e000009|2304290001,1,친구 친지 집,4122012400,22,0.0,,,,0.0,0.0,0.0
e_e000009,2304290002,e_e000009|2304290002,2,농협안성팜랜드,,6,0.0,,4.0,,2.0,17900.0,2.0
e_e000009,2304290003,e_e000009|2304290003,3,스타필드 안성,,4,0.0,,5.0,,1.0,66240.0,0.0
e_e000009,2304290004,e_e000009|2304290004,4,대동국수 평택역점,,11,0.0,,5.0,,1.0,56000.0,0.0
e_e000009,2304290005,e_e000009|2304290005,5,편지,,11,0.0,,5.0,,1.0,41000.0,0.0
e_e000009,2304290007,e_e000009|2304290007,6,호텔 프라하,,24,0.0,,1.0,,2.0,75000.0,0.0
e_e000009,2304300001,e_e000009|2304300001,7,평택 초등학교,,12,0.0,,5.0,,2.0,0.0,0.0
e_e000009,2304300002,e_e000009|2304300002,8,샤오바오 고덕점,,11,0.0,,5.0,,1.0,32000.0,0.0
e_e000009,2304300003,e_e000009|2304300003,9,평택시 농업 생태원,,6,0.0,,5.0,,2.0,0.0,0.0
e_e000009,2304300004,e_e000009|2304300004,10,평택시 로컬푸드 재단,,10,0.0,,5.0,,1.0,8000.0,0.0
e_e000009,2304300005,e_e000009|2304300005,11,시흥 하늘휴게소 양방향,,9,0.0,,5.0,,2.0,23200.0,0.0
e_e000009,2304300006,e_e000009|2304300006,12,영남아파트,,21,0.0,,,,0.0,0.0,0.0
e_e000010,2304290001,e_e000010|2304290001,1,집,4817042000,21,0.0,,,,0.0,0.0,0.0
e_e000010,2304290002,e_e000010|2304290002,2,진주 시외버스터미널,,9,0.0,,5.0,,1.0,0.0,0.0
e_e000010,2304290003,e_e000010|2304290003,3,서울 남부터미널,,9,0.0,,5.0,,1.0,0.0,0.0
e_e000010,2304290004,e_e000010|2304290004,5,롯데리아 남부터미널점,,11,0.0,,4.0,,1.0,0.0,0.0
e_e000010,2304290005,e_e000010|2304290005,6,다이소 남부터미널점,,10,0.0,,3.0,,1.0,0.0,0.0
e_e000010,2304290006,e_e000010|2304290006,4,충무아트센터 대극장,,3,0.0,,4.0,,2.0,0.0,0.0
